#,topic,tentative_subtema,knowledge_class,relative_path,doc_id
453,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-397-1997.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-397-1997.md
454,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-4-1913.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-4-1913.md
455,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-454-1998.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-454-1998.md
456,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-510-1999.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-510-1999.md
457,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-546-1999.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-546-1999.md
458,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-55-1985.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-55-1985.md
459,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-58-1985.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-58-1985.md
460,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-594-2000.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-594-2000.md
461,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-630-2000.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-630-2000.md
462,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-643-2001.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-643-2001.md
463,otros_sectoriales,,normative_base,CORE ya Arriba/LEYES/OTROS_SECTORIALES/NORMATIVA/Ley-666-2001.md,CORE_ya_Arriba_LEYES_OTROS_SECTORIALES_NORMATIVA_Ley-666-2001.md
